Rettighetsnummer;Rettighetsnavn;Rettighetstype;Rettighetshaver;Organisasjonsnummer;Status;Mottatt;Godkjent;Mineral;Kommunenummer;Kommunenavn;Fylkesnummer;Fylkesnavn;Geometri
0372/2025;Volda 2;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Jern,Niob,Titan,Vanadium,Zirkonium;1577;Volda;15;Møre og Romsdal;POLYGON ((6.11433977423338 62.1184756735815,6.19091394217598 62.1200522716257,6.19215882451144 62.1066038009935,6.11561847814666 62.1050280936727,6.11433977423338 62.1184756735815))
0373/2025;Volda 3;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Jern,Niob,Titan,Vanadium,Zirkonium;1577;Volda;15;Møre og Romsdal;POLYGON ((6.13475271388464 62.1054259877416,6.19215882451142 62.1066038009934,6.19340245039414 62.0931552896918,6.13602168168199 62.0919781416605,6.13475271388464 62.1054259877416))
0374/2025;Volda 4;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Jern,Niob,Titan,Vanadium,Zirkonium;1577,1520;Volda,Ørsta;15;Møre og Romsdal;POLYGON ((6.19215882451142 62.1066038009935,6.2878467936326 62.1085139176152,6.28944835538184 62.0905811218165,6.19381671345495 62.088672443556,6.19215882451142 62.1066038009935))
0375/2025;Volda 5;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Jern,Niob,Titan,Vanadium,Zirkonium;1577,1520;Volda,Ørsta;15;Møre og Romsdal;POLYGON ((6.19049870187379 62.12453508613,6.2862430737747 62.1264466428099,6.28784679363261 62.1085139176152,6.19215882451142 62.1066038009935,6.19049870187379 62.12453508613))
0377/2025;Fone 1;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Gull,Jern,Nikkel,Niob,Sølv,Titan,Vanadium,Zirkonium;4211;Gjerstad;42;Agder;POLYGON ((8.99757362710149 58.8516198798214,9.08422974951576 58.8515924455122,9.08418616586065 58.8336307333501,8.9975748826003 58.8336581483438,8.99757362710149 58.8516198798214))
0378/2025;Fone 2;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Gull,Jern,Nikkel,Niob,Sølv,Titan,Vanadium,Zirkonium;4211,4212;Gjerstad,Vegårshei;42;Agder;POLYGON ((8.98025261612714 58.8336566614279,9.06686392490047 58.8336408629539,9.06682935140642 58.8156790933181,8.98026282696391 58.8156948806728,8.98025261612714 58.8336566614279))
0379/2025;Dalen 4;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Bly,Gull,Kobber,Molybden,Sink,Sølv;4034;Tokke;40;Telemark;POLYGON ((7.94663651862804 59.4471769588893,8.01716570300568 59.4477265852523,8.0178164411916 59.425279791051,7.94733393412364 59.4247306537131,7.94663651862804 59.4471769588893))
0380/2025;Vikeby 1;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Jern,Niob,Titan,Vanadium,Zirkonium;3118,3122;Indre Østfold,Marker;31;Østfold;POLYGON ((11.5194775625132 59.5882148182034,11.5725504187253 59.5871827793231,11.5704959819344 59.5602703734312,11.5174653993111 59.5613013084752,11.5194775625132 59.5882148182034))
0382/2025;Landsverk 1;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-02-03;Jern,Kobber,Mangan,Nikkel,Niob,Titan,Vanadium,Zirkonium;4014;Kragerø;40;Telemark;POLYGON ((9.32577182483013 58.9378744803932,9.37789409645181 58.9377327620071,9.3775998868491 58.9107910933042,9.32551819315624 58.9109326618265,9.32577182483013 58.9378744803932))
0383/2025;Landsverk 2;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-02-03;Jern,Kobber,Mangan,Nikkel,Niob,Titan,Vanadium,Zirkonium;4014;Kragerø;40;Telemark;POLYGON ((9.3029493100166 58.910987495118,9.35503121495741 58.9108550145814,9.35475509759845 58.8839131643441,9.30271369652312 58.8840455048548,9.3029493100166 58.910987495118))
0384/2025;Landsverk 3;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-02-03;Jern,Kobber,Mangan,Nikkel,Niob,Titan,Vanadium,Zirkonium;4014;Kragerø;40;Telemark;POLYGON ((9.31312201375241 58.8840207127714,9.373836821482 58.8838593903309,9.37364313960114 58.8658981314345,9.31295978635698 58.8660593402286,9.31312201375241 58.8840207127714))
0385/2025;Landsverk 4;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-02-03;Jern,Kobber,Mangan,Nikkel,Niob,Titan,Vanadium,Zirkonium;4014;Kragerø;40;Telemark;POLYGON ((9.25067186253735 58.8841568949889,9.30271369652309 58.8840455048548,9.30247851594069 58.8571034008866,9.25047711251549 58.8572146733442,9.25067186253735 58.8841568949889))
0386/2025;Landsverk 5;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-02-03;Jern,Kobber,Mangan,Nikkel,Niob,Titan,Vanadium,Zirkonium;4014;Kragerø;40;Telemark;POLYGON ((9.25047711251549 58.8572146733441,9.28514475911105 58.8571428170836,9.28477615676108 58.8122389883116,9.25015332329329 58.8123107181806,9.25047711251549 58.8572146733441))
0387/2025;Landsverk 6;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-02-03;Jern,Kobber,Mangan,Nikkel,Niob,Titan,Vanadium,Zirkonium;4211,4014,4201;Gjerstad,Kragerø,Risør;42,40;Agder,Telemark;POLYGON ((9.18107104096856 58.8438592664476,9.25037987165083 58.8437435199336,9.25021800188149 58.8212915344651,9.18095397842171 58.8214071791417,9.18107104096856 58.8438592664476))
0388/2025;Glasøya 1;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-02-03;Jern,Niob,Titan,Vanadium,Zirkonium;5049;Flatanger;50;Trøndelag - Trööndelage;POLYGON ((10.7640738418822 64.4971284256497,10.8888993634591 64.4955795936828,10.8879710515787 64.482126780023,10.7632067960686 64.4836746804335,10.7640738418822 64.4971284256497))
0389/2025;Glasøya 2;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-02-03;Jern,Niob,Titan,Vanadium,Zirkonium;5049;Flatanger;50;Trøndelag - Trööndelage;POLYGON ((10.8463847189928 64.4826544945668,10.8879710515787 64.482126780023,10.8864261211218 64.4597053528654,10.8448737711083 64.4602325388068,10.8463847189928 64.4826544945668))
0390/2025;Glasøya 3;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-02-03;Jern,Niob,Titan,Vanadium,Zirkonium;5049;Flatanger;50;Trøndelag - Trööndelage;POLYGON ((10.7632067960686 64.4836746804335,10.825590888047 64.482913946608,10.8237984689595 64.4560072773174,10.7614755489105 64.4567670968155,10.7632067960686 64.4836746804335))
